Question,Level,Criteria,Marks,Sample Answer,Source
,2,Provides a partially accurate explanation but may lack details on some causes or use generic terms.,3,"There were a few reasons why World War I started. Countries made alliances that pulled them into fights, and they were building their armies. Also, everyone wanted colonies and was very proud of their own countries.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of several major causes that led to World War I, including: * Alliances: A complex web of alliances entangled European nations, drawing them into conflict. * Militarism: Glorification of military power and arms race fueled tensions. * Imperialism: Competition for colonies and resources increased rivalry between nations. * Nationalism: Strong nationalistic pride and desire for expansion fostered animosity.",4,"The outbreak of World War, a single event, didn't cause me, but a tinderbox of tensions. Alliances like the Triple Alliance and Triple Entente drew nations into conflict when one member was attacked. An arms race fueled anxieties as countries stockpiled weapons. Competition for colonies in Africa and Asia created rivalries. Rising nationalism across Europe fostered a sense of superiority and a desire for expansion, leading to friction between nations. These factors all played a role in pushing Europe over the brink of war.",https://commons.libretexts.org/book
"Distinguish between a monarchy and a democracy, mentioning a key feature of each.
",1,Contains significant errors or irrelevant information about monarchies and democracies.,1,Monarchies and democracies are both ways to run a country. I don't know what the difference is.,https://commons.libretexts.org/book
,2,It identifies some system characteristics but may need more clarity or critical details.,3,"A monarchy has a king or queen, while a democracy lets people choose their leaders. Monarchies are more traditional, while democracies focus on giving people a say in government.",https://commons.libretexts.org/book
,3,"Provides a clear and concise distinction between monarchy and democracy, highlighting a key feature (e.g., hereditary rule vs. electing leaders).",4,"In a monarchy, power is passed down through heredity, with a king, queen, or emperor as ruler. They may hold significant authority. Democracies, in contrast, empower the people. Citizens either directly vote on laws (direct democracy) or elect representatives to make decisions (representative democracy).",https://commons.libretexts.org/book
"What are algorithms, and how do they play a role in computer programs? Give a simple example of an everyday task that can be represented as an algorithm.
",1,Introduces algorithms as instructions for computers.,1,An algorithm is a set of instructions that a computer uses to get something done.,https://commons.libretexts.org/book
,2,Explains algorithms as problem-solving steps and relates them to programs.,3,An algorithm is a step-by-step plan that breaks down a problem into instructions a computer can understand. These instructions are used in computer programs to perform tasks.,https://commons.libretexts.org/book
,3,Provides a real-world example of an algorithm and connects it to computer programs.,4," An algorithm is like a recipe with instructions to solve a problem. In computers, programs use algorithms to follow steps. For instance, a recipe is like an algorithm for baking cookies - you follow steps like mixing ingredients in a specific order. Similarly, a program sorting numbers might follow an algorithm that breaks down the steps to compare each number and arrange them in order.",https://commons.libretexts.org/book
How medications enter the body can significantly impact their effect. Briefly explain the concept of the route of administration and give two common examples.,1,Introduces the route of administration and how medicine gets into the body.,1,"The route of administration is how medicine gets into your body. There are different ways, like swallowing pills or getting a shot.",https://commons.libretexts.org/book
,2,Explain how the administration route affects how quickly and how much medication reaches the bloodstream.,3,"The route of administration is the way medicine enters the body, affecting how fast it works. For instance, swallowing a pill takes time to digest, while a shot gets medicine directly into the bloodstream and works quicker.",https://commons.libretexts.org/book
,3,Provides specific examples of common routes of administration and their uses.,4,"The route of administration is the pathway for medication to enter the body. This can significantly impact how fast and how much medication reaches the bloodstream. Two common routes are oral, which takes time for digestion, and injection, which delivers medicine directly into the bloodstream and works faster.",https://commons.libretexts.org/book
"Briefly define KCL and KVL, and mention what they tell us about current and voltage in circuits.",1,Introduces KCL and KVL as circuit laws.,1,KCL and KVL are rules for understanding how electricity works in circuits.,https://commons.libretexts.org/book
,2,Explains KCL as the law of current balancing at junctions and KVL as the law of voltage balancing in loops.,3,KCL says that the total current going into a connection point in a circuit must equal the total current coming out. KVL says the total voltage used up going around a loop in a circuit must be zero.,https://commons.libretexts.org/book
,3,Provides an analogy and explains how KCL and KVL help analyse circuits.,4,Imagine water flowing in pipes. KCL is like saying all the water entering a junction (where pipes branch) must also come out. KVL is like saying the total pressure used up going around a closed loop (circular pipe) must be zero. These laws help us analyse electrical circuits to find unknown currents and voltages.,https://commons.libretexts.org/book
"Explain the concept of social stratification and give an example of a social hierarchy.
",1,Introduces social stratification as different social classes.,1,"Social stratification means different social classes, like rich and poor.",https://commons.libretexts.org/book
,2,Explains social stratification as a hierarchy based on socioeconomic factors.,3,"Social stratification is like a ladder in society, with the upper classes having more money, education, and opportunities than the lower classes.",https://commons.libretexts.org/book
,3,Explains social stratification with mobility and provides an example.,4,"Social stratification is the layered structure of society where different classes have different social positions. These classes are ranked based on wealth, income, education, and power. This ranking affects people's access to resources and opportunities throughout their lives. How easily someone can move between classes (social mobility) can also vary. For instance, the caste system in India is a historical example of a rigid social hierarchy where people are born into a particular caste and have limited social mobility.",https://commons.libretexts.org/book
"What is the relationship between a genome, chromosomes, and genes?
",1,"Provides an inaccurate, incomplete, or superficial explanation.",1,"DNA and genes are the same thing, and they make up the chromosomes.",https://commons.libretexts.org/book
,2,Provides a mostly accurate explanation but may lack some details or contain minor inaccuracies.,3,"The genome is all the genetic information in an organism, like a code. Chromosomes are parts of the code, and genes are smaller parts that tell the body how to do things.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of the relationship between genomes, chromosomes, and genes.",4,"Think of the genome as an organism's entire instruction manual. It's made up of DNA, containing all the genetic information. This information is organised into chromosomes, like separate chapters in the manual. Each chromosome is a long strand of DNA tightly coiled with proteins. Genes are the individual instructions within these chapters, specific stretches of DNA that code for particular traits or functions.",https://commons.libretexts.org/book
"Explain the effect of nonzero atomic volume on the ideal gas law at high pressure.
",1,Provides an inaccurate or irrelevant explanation. ,1,The ideal gas law is just a formula that doesn't consider everything about natural gases.,https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"The ideal gas law works well for gases at low pressure, but things get slightly cramped at high pressure. Gas molecules have some size, and when you push them together a lot, it affects how much space they have to move around. This can make the pressure slightly higher than the ideal gas law predicts.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of how nonzero atomic volume affects the ideal gas law at high pressure. Discusses the concepts of reduced available volume and increased intermolecular interactions.",4,"The ideal gas law assumes negligible atomic volume and no interactions between gas molecules. At high pressure, these assumptions become less valid. Gas molecules have a non-zero volume, and when squeezed closer together at high pressure, the available space for movement within the container (V) is effectively reduced. This is because the volume occupied by the molecules becomes more significant than the total container volume. Additionally, increased intermolecular interactions, neglected in the ideal gas law, can come into play at high pressure. While not as substantial as the excluded volume effect, these interactions can slightly influence the pressure-volume relationship.",https://commons.libretexts.org/book
" What is Pascal's law? Briefly describe it.
",1,Provides an inaccurate or irrelevant explanation. ,1,"Pascal's Law is a scientific principle, but I need clarification on what it does.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details.,3,"Pascal's Law relates to how pressure works in fluids. If you push on a liquid in a closed container, the pressure goes everywhere in the liquid, not just where you push.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of Pascal's Law.",4,"Pascal's Law, named after Blaise Pascal, is a fundamental principle in fluid mechanics. It states that when pressure is applied to a confined fluid, it is transmitted equally throughout it in all directions. Imagine pressing down on a closed balloon filled with water. The pressure you exert doesn't just push down; it gets transmitted evenly throughout the water, pushing outwards on the balloon walls in all directions.",https://commons.libretexts.org/book
"What is marginal utility, and how does it influence consumer behaviour?
",1,Provides an inaccurate or irrelevant explanation. ,1,"Marginal utility sounds like something about taxes, I'm curious to know how it relates to consumers.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3,"Marginal utility is something about how much you enjoy something and affects what you buy. The first slice of pizza might be unique, but the more you eat, the less unique each slice feels. So, people tend to buy things that give them the most enjoyment for their money.",https://commons.libretexts.org/book
,3,Provides a clear and concise explanation of marginal utility and its influence on consumer behaviour.,4,"Marginal utility is a consumer's added satisfaction from having one more unit of a good or service. Consumers make decisions based on maximising their marginal utility per dollar spent. So, you might buy that first glass of lemonade. Still, as you get increasingly thirsty, the additional satisfaction (marginal utility) you get from each extra glass starts to decrease (diminishing marginal utility). This is why you wouldn't keep buying glasses of lemonade forever – at some point, the extra satisfaction wouldn't be worth the price.",https://commons.libretexts.org/book
Define the Cold War and its main characteristics.,1,Provide an inaccurate or irrelevant explanation,1,"The Cold War was about war and the US vs. the Soviets, but I'm not sure what the details are.",https://commons.libretexts.org/book
,2,Provides a partially accurate definition or explanation but may need more details or use imprecise language.,3,The Cold War was long after World War II when the US and the USSR didn't fight each other directly but were still rivals. They had different ideas about government and competed for power around the world.,https://commons.libretexts.org/book
,3,Provides a clear and concise definition of the Cold War and its main characteristics.,4,"The Cold War was a period of intense tension between the United States and the Soviet Union following World War II. Although no direct military conflict occurred between them, they competed fiercely over ideology (capitalism vs. communism) and influence. Proxy wars fueled disputes around the world, and a nuclear arms race heightened anxieties. The Iron Curtain symbolised the division of Europe between the two spheres of influence.",https://commons.libretexts.org/book
"Briefly define the core principles of liberalism and conservatism, and mention one way they differ in their approach to government.",1,Contains significant errors or irrelevant information about liberalism and conservatism. Fails to mention how they differ in government approach.,1,"Liberals and conservatives have different views, but I'm unsure precisely what.",https://commons.libretexts.org/book
,2,It identifies some core principles of each ideology but may need more detail or clarification. The difference in government approach might be partially addressed.,3,"Liberals are for equality and social programs, while conservatives are more traditional. In government, liberals might be more likely to regulate businesses. ",https://commons.libretexts.org/book
,3,"It clearly defines the core principles of liberalism (individual liberty, social justice) and conservatism (tradition, stability). Identifies a key difference in their approach to government (liberals favour more intervention, conservatives favour less).",4,"Liberals prioritise individual liberty and social justice and often support a mixed economy with some government intervention for social programs. Conversely, conservatives emphasise tradition, social order, and stability. They generally favour limited government intervention and a robust free market.",https://commons.libretexts.org/book
Programmers use different types of languages to communicate with computers. Briefly distinguish between high-level and low-level programming languages.,1,Introduces two types of programming languages.,1, Programmers use two main types of languages: easy-to-understand and complex ones for computers.,https://commons.libretexts.org/book
,2,"Explains high-level languages are easier to read and write. In contrast, low-level languages provide more control over the hardware.",3,"High-level languages are more straightforward to talk to computers, while low-level languages are more complex but give more control.",https://commons.libretexts.org/book
,3,"Explains the trade-off between readability and control, with examples of each type of language.",4,"Programmers have two main language choices. High-level languages like Python are easy to read and write, focusing on solving problems rather than computer details. Low-level languages like assembly language are closer to how machines work, offering more control but being harder to use.",https://commons.libretexts.org/book
"Briefly define pharmacokinetics and pharmacodynamics, and mention what each focuses on.
",1,Introduces pharmacokinetics and pharmacodynamics as two aspects of medication action.,1,"Pharmacokinetics and pharmacodynamics are two areas of study related to how medications work. Pharmacokinetics looks at what the body does to a medication, and pharmacodynamics looks at what the medication does to the body.",https://commons.libretexts.org/book
,2,Explains pharmacokinetics as the study of drug movement and pharmacodynamics as the study of drug effects.,3,"Pharmacokinetics is like studying the journey of a medication in the body. It looks at how the body absorbs the medication, carries it around, breaks it down, and gets rid of it. Pharmacodynamics focuses on what happens when the medication reaches its target in the body, how it interacts with cells, and the effects.",https://commons.libretexts.org/book
,3,Provides a metaphor or analogy to illustrate the difference between pharmacokinetics and pharmacodynamics.,4,"Imagine a medication is a guest at a party. Pharmacokinetics studies how the guest gets to the party (absorption), travels throughout the party venue (distribution), and eventually leaves (excretion). Pharmacodynamics, however, is like studying how the guest interacts with other people at the party (effects the medication has on the body).",https://commons.libretexts.org/book
"Briefly define capacitors and inductors, and mention their essential functions in circuits.",1,Introduces capacitors and inductors as electronic components that store energy.,1,"Capacitors and inductors are electronic parts that store energy in circuits, like tiny batteries.",https://commons.libretexts.org/book
,2,"Explains that capacitors store energy in electric fields and inductors store energy in magnetic fields. They oppose changes in voltage and current, respectively.",3,"Capacitors store energy in an electric field, like a spring, and oppose changes in voltage. Inductors store energy in a magnetic field and resist changes in current.",https://commons.libretexts.org/book
,3,Provides an analogy and mentions applications of capacitors and inductors in circuits.,4,"Think of a capacitor as a spring for electricity. It stores energy in an electric field and can release it quickly. Inductors are like flywheels that store energy in a magnetic field and resist changes in current flow. Capacitors are found in circuits for filtering signals and storing energy, while inductors are used for smoothing current flow and in transformers.",https://commons.libretexts.org/book
"Briefly define social norms and laws, and mention one way they differ in enforcement.
",1,Introduces social norms and laws as rules.,1,Social norms and laws are rules that tell us how to act in society.,https://commons.libretexts.org/book
,2,Explains social norms as unwritten rules enforced by social pressure and laws as written rules enforced by authorities.,3,"Social norms are like unwritten rules about what's okay and not okay, enforced by how others might judge you. Laws are written rules set by the government, and you can get in trouble if you break them.",https://commons.libretexts.org/book
,3,Provides an analogy and highlights the focus of enforcement.,4,"Consider social norms as manners or etiquette. They're unwritten expectations about how to behave, and people might look down on you if you break them. Laws, on the other hand, are formal rules set by authorities. They focus on preventing harmful actions and are enforced with punishments like fines or jail time.",https://commons.libretexts.org/book
"What is the main difference between intramolecular interactions and intermolecular interactions?
",1,Provides an inaccurate or irrelevant explanation. ,1," There are different types of forces in chemistry, but I don't know how they're categorised based on whether they're within or between molecules.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details or use imprecise language.,3," The forces between atoms can differ depending on whether they're in the same molecule. Intramolecular forces hold the atoms together within a molecule, while intermolecular forces act between separate molecules.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of the difference between intramolecular and intermolecular interactions, specifying the types of forces involved and their targets.",4,"Intramolecular forces, the sturdy scaffolding within molecules, dictate a molecule's shape and stability. These forces come in three main types: Covalent bonds act like molecular glue, sharing electrons between atoms to form solid and directional bonds. Imagine two atoms holding hands tightly, sharing their possessions. Ionic bonds create a powerful attraction between oppositely charged partners; like an ionic couple, an invisible force draws the positive and negative ions together. These bonds create highly stable crystalline structures, like the orderly arrangement of ions in salt. Metallic bonds involve a sea of delocalised electrons shared by metal atoms throughout the structure. This electron sea is like a communal pool, accessible to all the metal atoms, and it gives metals their strength, malleability, and conductivity.",https://commons.libretexts.org/book
"What is Coulomb’s Law? Briefly describe it.
",1,Provides an inaccurate or irrelevant explanation. ,1,"Coulomb's Law is a physics concept, but I need to figure out what it does.",https://commons.libretexts.org/book
,2,Provides a partially accurate explanation but may need more details.,3,"Coulomb's Law describes how electric forces work between charged objects. The more charge something has, the stronger the force; if you move the objects farther apart, the force gets weaker.",https://commons.libretexts.org/book
,3,"Provides a clear, concise, and scientifically accurate explanation of Coulomb's Law.",4,"Coulomb's Law governs electrical interactions between charged objects. It tells us the magnitude of the electrostatic force between two stationary point charges. This force is directly proportional to the product of the charges on the objects (meaning the stronger the charges, the greater the force) and inversely proportional to the square of the distance separating them (meaning the farther apart the objects, the weaker the force). Imagine two magnets – opposite charges attract with a more vital force when closer, while like charges repel with a weaker force when farther apart.",https://commons.libretexts.org/book
"Define unemployment and categorise its different types.
",1,Provides an inaccurate or irrelevant explanation. ,1,"Unemployment is something about the economy, but I'm not sure what it means.",https://commons.libretexts.org/book
,2,It provides a partially accurate definition of unemployment but may lack details on types or explanations.,3," Unemployment is when people don't have a job but want one. There are different reasons why this might happen, like people looking for a new job or the economy being slow.",https://commons.libretexts.org/book
,3,Provides a clear and concise definition of unemployment and categorises its different types with explanations.,4,"Unemployment describes individuals who are out of work but actively looking for jobs. It has several categories:
Frictional: Temporary job search or transition between jobs.
Structural: Skill mismatch between job requirements and worker skills.
Cyclical: Tied to economic downturns, leading to layoffs.
Underemployment: Working part-time when desiring full-time or being overqualified for current work.",https://commons.libretexts.org/book
"Briefly explain how the Industrial Revolution transformed societies.
",1,Provides an inaccurate or irrelevant explanation. ,1,"The Industrial Revolution was about changes in how things were made, but I need to figure out the impact.",https://commons.libretexts.org/book
,2,It provides a partially accurate explanation but may need more details or mention more than three changes.,3,"The Industrial Revolution changed things a lot. Machines started working, and factories were built to make more stuff. People moved to cities to work in the factories, and there were more social changes.",https://commons.libretexts.org/book
,3,"Provides a clear and concise explanation of 2-3 fundamental changes brought about by the Industrial Revolution, focusing on: * Rise of factories and mass production: Increased efficiency and output of goods. * Urbanization: Shift of population from rural areas to cities to work in factories. * Social change: The emergence of the working class and the rise of labour movements.",4,"The Industrial Revolution fundamentally reshaped societies. Factories with machines replaced manual labour, dramatically increasing production. This demand for labour drew people from farms to cities, fueling rapid urbanisation. The concentration of workers led to the working class and social movements advocating for better working conditions and rights.",https://commons.libretexts.org/book
"What is democracy? Briefly explain it.
",1,Provides a simple definition of democracy.,1,Democracy is a way of governing where the people have the power.,https://commons.libretexts.org/book
,2,"Explains the key aspects of democracy, such as elections and citizen participation.",3,Democracy is a system where citizens choose their leaders through elections and have a say in how the country is run. This might involve voting on laws or policies or participating in public forums.,https://commons.libretexts.org/book
,3,Discusses different forms of democracy (direct vs. representative) and touches on challenges or complexities of democracies.,4,"Democracy is a government system giving people power. There are two main types: direct democracy, where citizens directly vote on laws, and representative democracy, where elected officials decide on the people's behalf. Democracies can be messy, balancing the will of the majority with protecting the rights of minorities.",https://commons.libretexts.org/book
"The terms ""Internet"" and ""World Wide Web"" are often used interchangeably, but there's a subtle difference. Explain what each term refers to.",1,Identifies the internet as a network and the web as a way to access information.,1,"The internet is an extensive network of computers, and the web is a way to use that network to look at information.",https://commons.libretexts.org/book
,2,Explains the internet as the infrastructure and the web as a service built on it.,3,Think of the internet like a giant highway system that connects computers everywhere. The web is like a specific service on those roads that use web pages and browsers to deliver information.,https://commons.libretexts.org/book
,3,Provides analogies and additional details about what the internet and web can be used for.,4,"Imagine the internet as a massive network of roads connecting cities and towns. It can carry all traffic, like mail trucks, cars, and buses. The World Wide Web is like a specific delivery service that uses these roads to bring packages to your door - you access information through websites like addresses on those roads. The internet can also be used for many other things besides the web, like email and online games.",https://commons.libretexts.org/book
"Explain the critical difference between prescription and OTC drugs and when you might choose one.
",1,Identifies that prescription drugs need a doctor's approval and OTC drugs don't.,1,"You need a doctor's prescription to get prescription drugs, but you can buy OTC drugs without a visit.",https://commons.libretexts.org/book
,2,"Explains prescription drugs are stronger and for more severe conditions, while OTC drugs are for minor ailments.",3,Prescription drugs are stronger and need a doctor's approval for severe conditions. OTC drugs are milder for minor problems like headaches and can be bought at stores.,https://commons.libretexts.org/book
,3,Explains the difference in regulation and highlights the importance of consulting a doctor for any medication use.,4,"Prescription drugs are tightly controlled and require a doctor's diagnosis to ensure they are safe and effective for your specific health issue. OTC drugs are regulated but less strictly. While convenient, it's essential to talk to your doctor before using any medication, including OTC drugs, to avoid potential risks or interactions with other medications you might be taking.",https://commons.libretexts.org/book
"Explain what makes a material a semiconductor, and mention two common types of ",1,Introduces semiconductors as materials with conductivity between conductors and insulators.,1,"Semiconductors are special materials that conduct electricity a little bit, not like perfect conductors like metal wires, but also not like complete stoppers like rubber.",https://commons.libretexts.org/book
,2,Explains that semiconductors have conductivity influenced by adding impurities (doping) and introduces two types: n-type and p-type.,3,"Semiconductors conduct electricity somewhat, but we can control this by adding impurities. This is called doping. Doping creates two types: n-type with more electrons for negative charge flow and p-type with electron vacancies for positive charge flow.",https://commons.libretexts.org/book
,3,Explains how the atomic structure of semiconductors allows for controlled conductivity through doping and mentions silicon as a common example.,4,"Semiconductors are unique because their atomic structure lets them conduct electricity a little. By carefully adding tiny amounts of impurities (doping), we can significantly change this conductivity in a controlled way. This creates two main types of semiconductors: n-type and p-type, which are essential building blocks for many electronic devices like transistors and integrated circuits. Silicon is a prevalent type of semiconductor material.",https://commons.libretexts.org/book
"How has globalisation impacted societies around the world? Briefly explain one positive and one negative consequence of globalisation on social structures.
",1,Mentions globalisation connects societies and can change cultures.,1,Globalisation connects countries and can influence how people live and act.,https://commons.libretexts.org/book
,2,Explains globalisation's positive impact (increased cultural exchange) and negative impact (weakening traditions) on social structures.,3,"Globalization has positive and negative effects on societies. On the positive side, it allows people to learn about different cultures and ways of life. On the negative side, it can weaken traditional customs and values.",https://commons.libretexts.org/book
,3,Explains the positive impact (cultural exchange) with an analogy and the negative impact (weakening traditions) with an example.,4,"Globalisation, like opening windows to different cultures, allows for exchanging ideas, food, and customs. People can experience new things and broaden their horizons. However, it can also be like a strong wind that weakens traditional ways of life. For example, globally promoted holidays and events may overshadow local celebrations and traditions.",https://commons.libretexts.org/book
